"어린이집명",시도명,시군구명,어린이집유형구분,정원수,보육교직원수,소재지도로명주소,어린이집전화번호,어린이집팩스번호,보육실수,놀이터수,CCTV설치수,통학차량운영여부,홈페이지주소,데이터기준일자
"엘리트영재스쿨어린이집",경상남도,창원시 마산합포구,민간,57,4,경상남도 창원시 마산합포구 산호서5길 19 (산호동),055-243-2942,055-243-0690,,,,Y,,2019-03-28
"연우어린이집",경상남도,창원시 마산합포구,민간,86,12,경상남도 창원시 마산합포구 회원동북로 64 (산호동),055-243-5975,055-243-5975,,,,Y,,2019-03-28
"통통이어린이집",경상남도,창원시 마산합포구,민간,33,8,경상남도 창원시 마산합포구 용마로 54-3,055-244-2311,055-244-2311,,,,Y,,2019-03-28
"파스텔어린이집",경상남도,창원시 마산합포구,민간,91,13,경상남도 창원시 마산합포구 산호북2길 36 (산호동),055-245-7043,055-245-7143,,,,Y,,2019-03-28
"리틀통통이 어린이집",경상남도,창원시 마산합포구,가정,18,1,경상남도 창원시 마산합포구 용마로 54-2 (산호동),055-244-2311,,,,,Y,,2019-03-28
"민들레어린이집",경상남도,창원시 마산합포구,가정,19,4,경상남도 창원시 마산합포구 산호남로 18 대림아파트 101호 (산호동),055-223-1322,055-223-1322,,,,Y,,2019-03-28
"창원시립 추산어린이집",경상남도,창원시 마산합포구,국공립,78,12,경상남도 창원시 마산합포구 문신길 163 창원시립추산어린이집,055-246-0381,055-246-7779,,,,Y,,2019-03-28
"마린푸른숲어린이집",경상남도,창원시 마산합포구,민간,39,9,경상남도 창원시 마산합포구 오동동14길 67 중앙마린파이브아파트 상가동,055-224-2256,055-242-2256,,,,N,,2019-03-28
"예쁜나라어린이집",경상남도,창원시 마산합포구,가정,20,3,경상남도 창원시 마산합포구 오동북6길 36 (오동동),055-244-2245,055-244-2245,,,,N,,2019-03-28
"노벨어린이집",경상남도,창원시 마산합포구,사회복지법인,67,9,경상남도 창원시 마산합포구 완월남7길 31 (완월동),055-243-6600,055-241-5162,,,,Y,,2019-03-28
"자연숲어린이집",경상남도,창원시 마산합포구,민간,115,7,경상남도 창원시 마산합포구 완월남7길 32,055-241-5161,055-241-5162,,,,Y,,2019-03-28
"보노어린이집",경상남도,창원시 마산합포구,가정,20,5,경상남도 창원시 마산합포구 중앙남8길 80,055-221-5380,070-7326-2649,,,,Y,,2019-03-28
"해피아이랑어린이집",경상남도,창원시 마산합포구,가정,17,7,경상남도 창원시 마산합포구 완월북5길 49 (완월동),055-241-9902,055-241-9902,,,,Y,,2019-03-28
"창원시립 월영어린이집",경상남도,창원시 마산합포구,국공립,75,11,경상남도 창원시 마산합포구 월영북로 24 (대내동),055-223-0629,055-223-0629,,,,Y,,2019-03-28
"영신어린이집",경상남도,창원시 마산합포구,사회복지법인,68,11,경상남도 창원시 마산합포구 월영북로 46 (대내동),055-244-4060,055-244-4060,,,,Y,,2019-03-28
"동아마을어린이집",경상남도,창원시 마산합포구,민간,30,5,경상남도 창원시 마산합포구 월영남로 43 동아1차아파트 관리동,055-222-9664,055-222-9664,,,,N,,2019-03-28
"동아신나는어린이집",경상남도,창원시 마산합포구,민간,36,10,경상남도 창원시 마산합포구 월영마을로 29 동아2차아파트 복리동,055-247-8878,055-223-8384,,,,Y,,2019-03-28
"마산가포부영사랑으로어린이집",경상남도,창원시 마산합포구,민간,49,9,"경상남도 창원시 마산합포구 가포로 154-11 210동 관리동(월영동, 마산가포부영아파트)",055-247-9888,055-247-9887,,,,Y,,2019-03-28
"새암어린이집",경상남도,창원시 마산합포구,민간,95,14,경상남도 창원시 마산합포구 월영남12길 15 새암어린이집,055-244-9982,055-245-3652,,,,Y,,2019-03-28
"신나는어린이집",경상남도,창원시 마산합포구,민간,26,4,"경상남도 창원시 마산합포구 월영마을로 52 현대2차아파트 복리동 (월영동,현대아파트)",055-222-8384,055-223-8384,,,,N,,2019-03-28
"예솔어린이집",경상남도,창원시 마산합포구,민간,90,12,경상남도 창원시 마산합포구 월영동13길 5,055-221-1533,055-222-6315,,,,Y,,2019-03-28
"해운어린이집",경상남도,창원시 마산합포구,민간,95,14,경상남도 창원시 마산합포구 월영동10길 19 (해운동),055-224-5599,055-246-0015,,,,Y,,2019-03-28
"현대신나는어린이집",경상남도,창원시 마산합포구,민간,30,4,경상남도 창원시 마산합포구 월영마을로 12 현대건설아파트 복리동 (월영동),055-247-8879,055-247-8879,,,,N,,2019-03-28
"금빛어린이집",경상남도,창원시 마산합포구,가정,20,5,"경상남도 창원시 마산합포구 월영남로 43 104동 101호(월영동, 동아1차아파트)",055-245-4574,055-245-4574,,,,Y,,2019-03-28
"기쁨몬테소리어린이집",경상남도,창원시 마산합포구,가정,20,2,"경상남도 창원시 마산합포구 월영마을로 29 209동 102호 (월영동아2차아파트,월영동)",055-223-7135,055-223-7135,,,,N,,2019-03-28
"꼬꼬마어린이집",경상남도,창원시 마산합포구,가정,20,4,"경상남도 창원시 마산합포구 월영마을로 29 204동 104호 (월영동, 월영동아2차아파트)",055-221-0031,055-221-0031,,,,Y,,2019-03-28
"꼬망새어린이집",경상남도,창원시 마산합포구,가정,19,3,"경상남도 창원시 마산합포구 월영마을로 12 105동 104호(월영동, 현대아파트)",055-221-1015,055-221-1015,,,,Y,,2019-03-28
"딩동댕어린이집",경상남도,창원시 마산합포구,가정,20,6,"경상남도 창원시 마산합포구 월영마을로 29 211동 104호 (월영동,월영동아2차아파트)",055-222-2445,055-222-2445,,,,Y,,2019-03-28
"보미어린이집",경상남도,창원시 마산합포구,가정,19,3,"경상남도 창원시 마산합포구 월영남로 43 101동 101호(월영동, 동아1차아파트)",055-244-1344,055-244-1346,,,,Y,,2019-03-28
"보보어린이집",경상남도,창원시 마산합포구,가정,19,5,"경상남도 창원시 마산합포구 월영마을로 5 203동 105호 (월영동,현대1차아파트)",055-604-9984,055-604-9984,,,,Y,,2019-03-28
"사랑숲 어린이집",경상남도,창원시 마산합포구,가정,20,4,"경상남도 창원시 마산합포구 월영동6길 35 104동 104호(해운동, 두산1차아파트)",055-248-9220,055-248-9220,,,,Y,,2019-03-28
"아띠어린이집",경상남도,창원시 마산합포구,가정,20,6,"경상남도 창원시 마산합포구 월영동남로 3 205동 102호(해운동, 두산2차아파트)",055-223-4345,055-223-4345,,,,Y,,2019-03-28
"예님어린이집",경상남도,창원시 마산합포구,가정,19,4,"경상남도 창원시 마산합포구 밤밭고개로 371 105동 109호 (월영동, 화인아트빌라)",055-243-3071,055-243-3071,,,,Y,,2019-03-28
"예뜰어린이집",경상남도,창원시 마산합포구,가정,19,6,"경상남도 창원시 마산합포구 월영동11길 42 306동 104호(해운동, 두산3차아파트)",055-248-7347,050-5357-7347,,,,Y,,2019-03-28
"은가비어린이집",경상남도,창원시 마산합포구,가정,19,3,"경상남도 창원시 마산합포구 월영동11길 37 101동 104호(해운동, 해운동현대아파트)",055-247-0585,055-247-0585,,,,Y,,2019-03-28
"조은어린이집",경상남도,창원시 마산합포구,가정,20,6,"경상남도 창원시 마산합포구 월영마을로 52 501동 101호(월영동, 현대2차아파트)",055-243-1787,055-243-1787,,,,Y,,2019-03-28
"해맑은어린이집",경상남도,창원시 마산합포구,가정,19,4,"경상남도 창원시 마산합포구 월영동11길 42 305동 102호(해운동, 두산3차아파트)",055-243-5515,055-243-5515,,,,Y,,2019-03-28
"현대햇살어린이집",경상남도,창원시 마산합포구,가정,20,5,"경상남도 창원시 마산합포구 월영마을로 52 502동 103호(월영동, 현대2차아파트)",055-221-3289,,,,,Y,,2019-03-28
"글로리아키즈어린이집",경상남도,창원시 마산합포구,민간,80,9,경상남도 창원시 마산합포구 자산남7길 16 (자산동),055-244-0688,055-242-0688,,,,Y,,2019-03-28
"맑은숲영재스쿨어린이집",경상남도,창원시 마산합포구,민간,78,11,경상남도 창원시 마산합포구 자산삼거리로 94-11,055-245-3907,055-224-3904,,,,Y,,2019-03-28
"바른아이뜰어린이집",경상남도,창원시 마산합포구,민간,39,5,경상남도 창원시 마산합포구 심온길 94-3,055-245-2252,055-245-9339,,,,Y,,2019-03-28
"반달어린이집",경상남도,창원시 마산합포구,민간,49,8,경상남도 창원시 마산합포구 자산서14길 63 (자산동),055-243-7477,055-243-7478,,,,Y,,2019-03-28
"샛별아이어린이집",경상남도,창원시 마산합포구,민간,49,1,경상남도 창원시 마산합포구 자산남4길 11 (자산동),055-222-1285,055-243-0536,,,,Y,,2019-03-28
"세잔키드스쿨어린이집",경상남도,창원시 마산합포구,민간,39,4,경상남도 창원시 마산합포구 자산서12길 24 (자산동),055-222-6634,055-222-6634,,,,Y,,2019-03-28
"청운어린이집",경상남도,창원시 마산합포구,민간,163,18,경상남도 창원시 마산합포구 자산북1길 40 (자산동),055-222-5556,055-242-4154,,,,Y,,2019-03-28
"리틀맑은숲어린이집",경상남도,창원시 마산합포구,가정,19,1,경상남도 창원시 마산합포구 자산삼거리로 94-13,055-245-3907,055-245-3904,,,,N,,2019-03-28
"백양어린이집",경상남도,창원시 마산합포구,사회복지법인,130,18,경상남도 창원시 마산합포구 중앙남4길 9 (신흥동),055-222-0808,055-246-2539,,,,Y,,2019-03-28
"사회복지법인마산어린이집",경상남도,창원시 마산합포구,사회복지법인,99,13,경상남도 창원시 마산합포구 중앙동2가 중앙동3길 32-3 마산어린이집,055-246-0010,055-241-7196,,,,Y,,2019-03-28
"마산YWCA어린이집",경상남도,창원시 마산합포구,법인·단체,78,10,경상남도 창원시 마산합포구 중앙북5길 20 마산YWCA어린이집,055-248-9950,055-245-8747,,,,Y,,2019-03-28
"문화어린이집",경상남도,창원시 마산합포구,법인·단체,39,7,경상남도 창원시 마산합포구 중앙남10길 27 (장군동2가),055-222-3895,055-248-9009,,,,Y,,2019-03-28
"해오름어린이집",경상남도,창원시 마산합포구,민간,33,10,경상남도 창원시 마산합포구 중앙동3길 26 경동메르빌상가110호 (중앙동2가),055-281-8178,055-243-8178,,,,Y,,2019-03-28
"경동튼튼어린이집",경상남도,창원시 마산합포구,가정,19,4,"경상남도 창원시 마산합포구 중앙동2가 중앙동3길 16 (중앙동2가, 경동메르빌 110-104)",055-247-1484,055-247-1484,,,,Y,,2019-03-28
"우방햇살어린이집",경상남도,창원시 마산합포구,가정,19,5,경상남도 창원시 마산합포구 중앙동2가 중앙동로 10 우방아파트 101동 102호,055-247-4298,055-247-4298,,,,Y,,2019-03-28
"혜성미어린이집",경상남도,창원시 마산합포구,가정,18,6,경상남도 창원시 마산합포구 중앙북2길 17 혜성미 106호 (중앙동3가),070-4110-5672,,,,,Y,,2019-03-28
"마산합포구청어린이집",경상남도,창원시 마산합포구,직장,60,7,경상남도 창원시 마산합포구 중앙동3가 중앙북1길 34,055-241-3051,055-241-3051,,,,N,,2019-03-28
"사동어린이집",경상남도,창원시 마산합포구,사회복지법인,120,15,경상남도 창원시 마산합포구 진동면 사동길 145,055-271-6448,055-271-6727,,,,Y,,2019-03-28
"밝은숲 어린이집",경상남도,창원시 마산합포구,민간,129,18,경상남도 창원시 마산합포구 신서촌로 50-9 (진동면 진동리),055-271-3848,055-271-3879,,,,Y,,2019-03-28
"재능어린이집",경상남도,창원시 마산합포구,민간,99,14,경상남도 창원시 마산합포구 진동면 교동3길 62,055-271-8825,055-271-8847,,,,Y,,2019-03-28
"한솔어린이집",경상남도,창원시 마산합포구,민간,38,7,경상남도 창원시 마산합포구 진동면 요장1길 110,055-271-5653,055-271-5611,,,,Y,,2019-03-28
"햇살가득유앤아이어린이집",경상남도,창원시 마산합포구,민간,31,9,경상남도 창원시 마산합포구 진동면 진북산업로 58 한일유앤아이아파트 복리동,055-271-1235,055-271-1235,,,,Y,,2019-03-28
"협성풀꽃무리어린이집",경상남도,창원시 마산합포구,민간,39,8,경상남도 창원시 마산합포구 진동면 진북산업로 55 협성엠파이어아파트 복리동(105동),055-271-4088,055-271-9088,,,,Y,,2019-03-28
"꼬마대통령어린이집",경상남도,창원시 마산합포구,가정,19,3,경상남도 창원시 마산합포구 진동면 진북산업로 58 104-103,055-271-9925,,,,,Y,,2019-03-28
"꿈꾸는유앤아이어린이집",경상남도,창원시 마산합포구,가정,20,6,경상남도 창원시 마산합포구 진동면 진북산업로 58 한일유앤아이아파트 104동 102호,055-271-0607,055-271-7700,,,,Y,,2019-03-28
"꿈채움어린이집",경상남도,창원시 마산합포구,가정,19,5,경상남도 창원시 마산합포구 진동면 진북산업로 58 한일유앤아이아파트 101동103호,055-271-6267,055-271-6267,,,,Y,,2019-03-28
"리틀재능어린이집",경상남도,창원시 마산합포구,가정,18,5,"경상남도 창원시 마산합포구 진동면 요장1길 29 102동 106호(요장리, 혜창한마음비치)",055-271-9722,055-271-9722,,,,Y,,2019-03-28
"미르어린이집",경상남도,창원시 마산합포구,가정,19,5,경상남도 창원시 마산합포구 진동면 진북산업로 55 협성엠파이어아파트 109-101,055-243-1886,055-243-1886,,,,Y,,2019-03-28
"유앤아이어린이집",경상남도,창원시 마산합포구,가정,20,5,경상남도 창원시 마산합포구 진동면 진북산업로 58 한일유앤아이아파트 112동101호,055-271-7700,055-271-7700,,,,Y,,2019-03-28
"혜창꿈나무어린이집",경상남도,창원시 마산합포구,가정,19,5,"경상남도 창원시 마산합포구 진동면 요장1길 33 102동102호,혜창한마음비치",070-4791-0115,050-095-6358,,,,Y,,2019-03-28
"창원시립 진북어린이집",경상남도,창원시 마산합포구,국공립,62,9,경상남도 창원시 마산합포구 진북면 지산1길 63-10 창원시립 진북어린이집,055-271-3352,055-271-3352,,,,Y,,2019-03-28
"진전어린이집",경상남도,창원시 마산합포구,사회복지법인,49,6,경상남도 창원시 마산합포구 진전면 오서곡안로 24,055-271-0211,055-271-4991,,,,Y,,2019-03-28
"창원시립 용마어린이집",경상남도,창원시 마산합포구,국공립,67,11,경상남도 창원시 마산합포구 용마산길 47,055-247-3525,055-247-3526,,,,Y,,2019-03-28
"다정어린이집",경상남도,창원시 마산합포구,민간,39,5,경상남도 창원시 마산합포구 불종거리로 78 (상남동),055-243-2293,055-247-5060,,,,Y,,2019-03-28
"하늘샘어린이집",경상남도,창원시 마산합포구,민간,76,12,경상남도 창원시 마산합포구 합포남2길 24 (산호동),055-222-3108,055-223-3108,,,,Y,,2019-03-28
"큰샘물어린이집",경상남도,창원시 마산합포구,가정,16,6,경상남도 창원시 마산합포구 합포남8길 13 1층,055-222-3116,055-222-3117,,,,N,,2019-03-28
"합포해돋이어린이집",경상남도,창원시 마산합포구,가정,19,4,"경상남도 창원시 마산합포구 합포동5길 23 1동103호(합포동,국제비치타운)",055-245-5353,055-245-5353,,,,Y,,2019-03-28
"창원시립 덕동어린이집",경상남도,창원시 마산합포구,국공립,70,9,경상남도 창원시 마산합포구 덕동길 32,055-221-9745,055-221-9745,,,,Y,,2019-03-28
"신유성어린이집",경상남도,창원시 마산합포구,민간,66,10,경상남도 창원시 마산합포구 묘촌1길 28 현동 LH그린품에아파트 복리동,055-245-2271,055-224-2271,,,,Y,,2019-03-28
"중흥누리봄어린이집",경상남도,창원시 마산합포구,민간,79,15,"경상남도 창원시 마산합포구 현동1길 8 관리동(현동,중흥에스-클래스프라디움3차)",055-223-1518,055-223-1519,,,,Y,,2019-03-28
"중흥산들어린이집",경상남도,창원시 마산합포구,민간,45,10,경상남도 창원시 마산합포구 현동9길 14 중흥S클래스 프라디움2차아파트 관리동,055-222-7802,055-222-7802,,,,Y,,2019-03-28
"중흥키즈어린이집",경상남도,창원시 마산합포구,민간,45,9,경상남도 창원시 마산합포구 현동4길 20 복리동,055-221-1518,055-245-1518,,,,Y,,2019-03-28
"하늘숲어린이집",경상남도,창원시 마산합포구,민간,80,11,경상남도 창원시 마산합포구 현동3길 1 창원현동LH아파트 복리동,055-222-1232,055-222-1232,,,,Y,,2019-03-28
"보듬이어린이집",경상남도,창원시 마산합포구,가정,19,6,경상남도 창원시 마산합포구 묘촌1길 28 그린품애아파트 606-102,055-601-4055,055-601-4077,,,,Y,,2019-03-28
"숲속친구어린이집",경상남도,창원시 마산합포구,가정,19,5,경상남도 창원시 마산합포구 묘촌1길 28 609동 102호(그린품애아파트),055-245-3232,055-224-6612,,,,Y,,2019-03-28
"중흥해마루어린이집",경상남도,창원시 마산합포구,가정,19,6,경상남도 창원시 마산합포구 현동4길 20 중흥S클래스A 103-102,055-243-3517,055-243-2889,,,,Y,,2019-03-28
"하늘별빛어린이집",경상남도,창원시 마산합포구,가정,19,3,경상남도 창원시 마산합포구 현동4길 20 중흥S클래스A. 102-102,055-604-2489,055-603-0161,,,,Y,,2019-03-28
"해피아이숲어린이집",경상남도,창원시 마산합포구,가정,19,5,경상남도 창원시 마산합포구 현동4길 20 중흥S클래스아파트 103-101,055-224-5466,055-224-5467,,,,Y,,2019-03-28
"현동아이자람어린이집",경상남도,창원시 마산합포구,가정,19,4,"경상남도 창원시 마산합포구 현동4길 20 101동 102호(현동, 중흥S클래스아파트)",055-241-3780,055-241-3780,,,,Y,,2019-03-28
"덴소코리아어린이집",경상남도,창원시 마산합포구,직장,20,7,"경상남도 창원시 마산합포구 현동10길 19 (현동,아파트동 1층)",055-242-2017,055-242-2017,,,,N,,2019-03-28
"글로벌창의 어린이집",경상남도,창원시 마산회원구,민간,76,12,경상남도 창원시 마산회원구 구암북3길 9 (구암동),055-253-5445,055-253-5446,,,,Y,,2019-03-28
"글로벌창의숲 어린이집",경상남도,창원시 마산회원구,민간,69,13,경상남도 창원시 마산회원구 금강로 301 (구암동),055-253-0014,055-253-0104,,,,Y,,2019-03-28
"바른손어린이집",경상남도,창원시 마산회원구,민간,154,21,경상남도 창원시 마산회원구 구암북15길 49 (구암동),055-299-7560,055-252-7561,,,,Y,,2019-03-28
"소명어린이집",경상남도,창원시 마산회원구,민간,74,11,경상남도 창원시 마산회원구 소계천서길 103 (구암동),055-298-8995,055-715-1025,,,,Y,,2019-03-28
"천사맘어린이집",경상남도,창원시 마산회원구,민간,21,6,경상남도 창원시 마산회원구 구암서2길 110-1 (구암동),055-294-1005,055-294-1005,,,,N,,2019-03-28
"무지개 어린이집",경상남도,창원시 마산회원구,가정,20,3,경상남도 창원시 마산회원구 구암북2길 22 (구암동),055-256-7178,055-256-7170,,,,Y,,2019-03-28
"창원시립 구암어린이집",경상남도,창원시 마산회원구,국공립,78,12,경상남도 창원시 마산회원구 구암서1길 235,055-255-5722,055-255-5722,,,,Y,,2019-03-28
"인애어린이집",경상남도,창원시 마산회원구,사회복지법인,120,9,경상남도 창원시 마산회원구 팔용로 272 인애어린이집,055-298-8661,055-296-6361,,,,Y,,2019-03-28
"밀알재능어린이집",경상남도,창원시 마산회원구,민간,49,10,"경상남도 창원시 마산회원구 구암남7길 7 대성프리죤텔101, 102호 (구암동)",055-295-9341,055-295-9348,,,,Y,,2019-03-28
"아마데우스어린이집",경상남도,창원시 마산회원구,민간,45,10,경상남도 창원시 마산회원구 구암남10길 15 대동아파트 복리동 (구암동),055-252-7416,055-252-7415,,,,Y,,2019-03-28
"반짝반짝행복어린이집",경상남도,창원시 마산회원구,가정,20,4,"경상남도 창원시 마산회원구 팔용로 215 102동 101호(구암동, 중앙하이츠)",055-293-6532,055-293-6532,,,,Y,,2019-03-28
"아름아이어린이집",경상남도,창원시 마산회원구,가정,16,5,"경상남도 창원시 마산회원구 구암남16길 54 104동 103호(구암동, 구암대동타운1차아파트)",055-256-9377,055-256-9377,,,,N,,2019-03-28
"아이사랑어린이집",경상남도,창원시 마산회원구,가정,20,4,경상남도 창원시 마산회원구 구암남6길 66 (구암동),055-299-5198,055-299-5198,,,,Y,,2019-03-28
"아이세상 어린이집",경상남도,창원시 마산회원구,가정,13,3,"경상남도 창원시 마산회원구 구암남16길 54 109동 110호(구암동, 구암대동타운1차아파트)",055-298-0267,,,,,N,,2019-03-28
"엘림어린이집",경상남도,창원시 마산회원구,가정,18,4,"경상남도 창원시 마산회원구 구암남16길 54 102동 102호(구암동, 구암대동타운1차아파트)",055-294-7658,055-294-7658,,,,N,,2019-03-28
"파란하늘빛어린이집",경상남도,창원시 마산회원구,가정,18,4,"경상남도 창원시 마산회원구 구암동4길 21 B동 101호(구암동, 성광빌)",055-253-7772,,,,,Y,,2019-03-28
"삼계한샘어린이집",경상남도,창원시 마산회원구,사회복지법인,49,8,경상남도 창원시 마산회원구 내서읍 삼계본동2길 9-1,055-231-4017,055-231-4018,,,,Y,,2019-03-28
"상곡어린이집",경상남도,창원시 마산회원구,사회복지법인,49,14,경상남도 창원시 마산회원구 내서읍 상곡안길 106-4,055-231-3705,055-231-3706,,,,Y,,2019-03-28
"선재어린이집",경상남도,창원시 마산회원구,사회복지법인,63,8,경상남도 창원시 마산회원구 상곡로 49 내서종합사회복지관 내 선재어린이집,055-231-7748,070-7589-7748,,,,Y,,2019-03-28
"숲속자람터어린이집",경상남도,창원시 마산회원구,사회복지법인,80,16,경상남도 창원시 마산회원구 내서읍 삼계로 288-18,055-231-0090,055-231-0025,,,,Y,,2019-03-28
"호계어린이집",경상남도,창원시 마산회원구,사회복지법인,51,14,경상남도 창원시 마산회원구 내서읍 구미길 11-1,055-231-6741,055-231-6747,,,,Y,,2019-03-28
"서마산원광어린이집",경상남도,창원시 마산회원구,법인·단체,99,4,경상남도 창원시 마산회원구 내서읍 삼계로 62,055-232-4452,055-231-4452,,,,Y,,2019-03-28
"그루터기어린이집",경상남도,창원시 마산회원구,민간,128,12,경상남도 창원시 마산회원구 삼계로 175-30 경상남도 창원시 마산회원구 내서읍 삼계리 1048-1,055-231-1050,055-231-0261,,,,Y,,2019-03-28
"꿈이있는어린이집",경상남도,창원시 마산회원구,민간,35,8,경상남도 창원시 마산회원구 내서읍 삼계본동1길 8-16,055-293-3393,055-293-3393,,,,Y,,2019-03-28
"녹원어린이집",경상남도,창원시 마산회원구,민간,99,11,경상남도 창원시 마산회원구 내서읍 상동길 29,055-232-8388,055-231-8289,,,,Y,,2019-03-28
"다빈치 어린이집",경상남도,창원시 마산회원구,민간,39,6,경상남도 창원시 마산회원구 내서읍 상곡안길 33-20,055-232-4498,,,,,Y,,2019-03-28
"단비어린이집",경상남도,창원시 마산회원구,민간,37,7,경상남도 창원시 마산회원구 내서읍 삼계10길 22 1주공아파트(내)복지동 1층,055-232-3360,055-232-3360,,,,Y,,2019-03-28
"대동영재 아이짐어린이집",경상남도,창원시 마산회원구,민간,30,7,경상남도 창원시 마산회원구 내서읍 삼계5길 30 관리동 1층,055-231-6450,055-231-6450,,,,Y,,2019-03-28
"동신해나라 어린이집",경상남도,창원시 마산회원구,민간,44,7,경상남도 창원시 마산회원구 중리상곡로 134 동신아파트내 202뒤 1층건물,055-603-6007,055-603-6008,,,,Y,,2019-03-28
"라파어린이집",경상남도,창원시 마산회원구,민간,49,8,경상남도 창원시 마산회원구 내서읍 호원로 186-1,055-232-7844,055-232-7842,,,,Y,,2019-03-28
"보물숲어린이집",경상남도,창원시 마산회원구,민간,46,6,경상남도 창원시 마산회원구 내서읍 호계샛담길 48,055-232-1288,055-232-1288,,,,Y,,2019-03-28
"비둘기어린이집",경상남도,창원시 마산회원구,민간,49,7,경상남도 창원시 마산회원구 내서읍 호계본동로 54,055-232-4692,055-232-4681,,,,Y,,2019-03-28
"삼계현대어린이집",경상남도,창원시 마산회원구,민간,35,8,경상남도 창원시 마산회원구 내서읍 삼풍로 82 현대아파트 관리동,055-232-1155,055-232-1155,,,,Y,,2019-03-28
"샛담꽃마리어린이집",경상남도,창원시 마산회원구,민간,47,9,경상남도 창원시 마산회원구 내서읍 호계샛담길 38,055-232-1390,055-294-2132,,,,Y,,2019-03-28
"성운어린이집",경상남도,창원시 마산회원구,민간,65,10,경상남도 창원시 마산회원구 내서읍 함마대로 2694-93,055-232-3005,055-232-3774,,,,Y,,2019-03-28
"수피아어린이집",경상남도,창원시 마산회원구,민간,61,10,경상남도 창원시 마산회원구 내서읍 옥정1길 9-2,055-232-0336,055-231-0335,,,,Y,,2019-03-28
"숲속해나어린이집",경상남도,창원시 마산회원구,민간,25,6,"경상남도 창원시 마산회원구 내서읍 숲속로 27 604동-104호(삼계리, 숲속마을주공그린빌6단지아파트)",055-296-3848,055-296-3848,,,,N,,2019-03-28
"쏠티동산어린이집",경상남도,창원시 마산회원구,민간,183,25,경상남도 창원시 마산회원구 내서읍 상곡안길 21,055-231-2280,055-231-2240,,,,Y,,2019-03-28
"아름다운어린이집",경상남도,창원시 마산회원구,민간,39,4,경상남도 창원시 마산회원구 상곡로 67 2 주공아파트관리동,055-231-6444,055-231-6445,,,,Y,,2019-03-28
"열림어린이집",경상남도,창원시 마산회원구,민간,49,9,"경상남도 창원시 마산회원구 내서읍 중리상곡로 20-1 (내서읍, 유아원동)",055-232-0043,055-231-0048,,,,Y,,2019-03-28
"예그린어린이집",경상남도,창원시 마산회원구,민간,32,7,경상남도 창원시 마산회원구 내서읍 광려로 42 대동이미지아파트2단지관리소2층,055-292-9082,055-292-9082,,,,Y,,2019-03-28
"이미지큰샘어린이집",경상남도,창원시 마산회원구,민간,37,7,경상남도 창원시 마산회원구 광려로 28 대동이미지아파트 1단지 복리동 2층,055-294-8069,055-294-8055,,,,Y,,2019-03-28
"일화어린이집",경상남도,창원시 마산회원구,민간,126,14,경상남도 창원시 마산회원구 상곡안길 106-14,055-232-9835,055-231-3706,,,,Y,,2019-03-28
"코오롱한샘어린이집",경상남도,창원시 마산회원구,민간,60,15,경상남도 창원시 마산회원구 내서읍 호원로 361-3 코오롱 1차 119동 뒤 경로당 2층 코오롱한샘 어린이집,055-251-6752,055-255-6751,,,,Y,,2019-03-28
"키드.예넬어린이집",경상남도,창원시 마산회원구,민간,32,4,경상남도 창원시 마산회원구 내서읍 삼계숲길 225 경상남도 창원시 마산회원구 내서읍 삼계리 822,055-231-7017,055-231-7018,,,,N,,2019-03-28
"키즈포래어린이집",경상남도,창원시 마산회원구,민간,100,4,경상남도 창원시 마산회원구 내서읍 원계증산길 46-34,055-231-0255,055-231-0259,,,,Y,,2019-03-28
"하늘채한샘어린이집",경상남도,창원시 마산회원구,민간,48,8,경상남도 창원시 마산회원구 내서읍 호원로 359 코오롱하늘채 2차아파트 복리동 하늘채한샘어린이집,055-293-6750,055-293-6751,,,,Y,,2019-03-28
"한우리다온어린이집",경상남도,창원시 마산회원구,민간,26,7,경상남도 창원시 마산회원구 내서읍 삼계1길 48 한우리a복지동내,055-232-3622,,,,,Y,,2019-03-28
"해와달아이어린이집",경상남도,창원시 마산회원구,민간,96,14,경상남도 창원시 마산회원구 호계안길 36 -13번지,055-232-7866,055-232-7226,,,,Y,,2019-03-28
"호계문창어린이집",경상남도,창원시 마산회원구,민간,25,1,경상남도 창원시 마산회원구 내서읍 호계본동로 78,055-231-0303,055-232-4702,,,,Y,,2019-03-28
"호계사랑어린이집",경상남도,창원시 마산회원구,민간,95,11,경상남도 창원시 마산회원구 내서읍 구미길 42-4,055-231-6742,055-231-6747,,,,Y,,2019-03-28
i - 편한 어린이집,경상남도,창원시 마산회원구,가정,20,6,경상남도 창원시 마산회원구 내서읍 광려천남로 267 대동다:숲 106-103,055-253-3320,,,,,Y,,2019-03-28
"꼬마요정 어린이집",경상남도,창원시 마산회원구,가정,20,7,경상남도 창원시 마산회원구 호원로 359 코오롱하늘채2차아파트218동104호,070-4402-7951,,,,,Y,,2019-03-28
"꿈샘아이어린이집",경상남도,창원시 마산회원구,가정,14,4,"경상남도 창원시 마산회원구 내서읍 삼계1길 32 104동 103호(삼계리, 한우리아파트)",055-231-2080,055-231-2080,,,,Y,,2019-03-28
"뉴호산나어린이집",경상남도,창원시 마산회원구,가정,20,5,"경상남도 창원시 마산회원구 내서읍 호원로 361-3 112동 103호(호계리, 코오롱1차아파트)",055-296-2787,,,,,Y,,2019-03-28
